media,ideo,index
ABC News,-4.5,u_abc
BBC News,-2.52,u_bbc
Breitbart,16.44,u_bb
Business Insider,-5.29,u_bi
BuzzFeed,-7.86,u_buzz
CBS News,-3.45,u_cbs
CNN,-8.79,u_cnn
The Daily Caller,15.95,u_dc
Fox News,14.15,u_fox
The Guardian,-8.76,u_guard
HuffPost,-11.32,u_hp
MSNBC,-14.17,u_msnbc
NBC News,-6.88,u_nbc
New York Post,12.46,u_nyp
The New York Times,-7.77,u_nyt
Newsweek,-5.07,u_week
NPR,-4.62,u_npr
PBS,-4.73,u_pbs
POLITICO,-6.69,u_pol
Rush Limbaugh,26.09,u_rush
Sean Hannity,23.44,u_sean
The Hill,-1.41,u_hill
TIME,-7.19,u_time
USA TODAY,-4.42,u_usa
VICE,-10.06,u_vice
Vox,-10.39,u_vox
The Wall Street Journal,5.17,u_wsj
Washington Examiner,13.53,u_exam
Washington Post,-8.44,u_wp
