id,name,label,homepage,stories_per_week,primary_language,name_clean
1,nytimes.com,New York Times,http://nytimes.com,1245,,nyt
2,washingtonpost.com,Washington Post,http://washingtonpost.com,1940,,wp
3,csmonitor.com,Christian Science Monitor,http://csmonitor.com,93,en,csmonitor
4,usatoday.com,USA Today,http://www.usatoday.com,1422,,usa
6,latimes.com,LA Times,http://www.latimes.com/,1310,,latimes
7,nypost.com,New York Post,http://www.nypost.com/,2203,,nyp
9,chicagotribune.com,Chicago Tribune,http://www.chicagotribune.com/,653,,chicagotribune
10,chron.com,houstonchronicle,http://www.chron.com/,361,en,chron
12,dallasnews.com,Dallas Morning News,http://www.dallasnews.com/,-1,en,dallasnews
13,newsday.com,Newsday,http://www.newsday.com/,1008,,newsday
14,sfgate.com,SF Gate,http://www.sfgate.com/,1002,en,sfgate
21511,bostonglobe.com,Boston Globe,http://www.bostonglobe.com,260,en,bostonglobe
19,startribune.com,Star Tribune,http://www.startribune.com/,1105,,startribune
22,tampabay.com,Tampa Bay Times,http://www.tampabay.com/,103,en,tampabay
25,ocregister.com,Orange County Register,http://www.ocregister.com/,496,en,ocregister
26,sacbee.com,Sac Bee,http://www.sacbee.com/,-1,en,sacbee
28,miamiherald.com,Miami Herald,http://www.miamiherald.com/,15,en,miamiherald
30,kansascity.com,Kansas City Star,http://www.kansascity.com/,-1,en,kansascity
34,baltimoresun.com,Baltimore Sun,http://www.baltimoresun.com/,502,en,baltimoresun
35,mercurynews.com,San Jose Mercury News,http://www.mercurynews.com/,923,en,mercurynews
36,jsonline.com,Milwaukee Journal Sentinel,http://www.jsonline.com/,508,en,jsonline
38,orlandosentinel.com,Orlando Sentinel,http://www.orlandosentinel.com/,377,en,orlandosentinel
39,sun-sentinel.com,South Florida Sun-Sentinel,http://www.sun-sentinel.com/,308,en,sun-sentinel
41,dispatch.com,Columbus Dispatch,http://www.dispatch.com/,-1,en,dispatch
45,post-gazette.com,Pittsburgh Post-Gazette,http://www.post-gazette.com/,303,en,post-gazette
52,twincities.com,St.Paul Pioneer-Press,http://www.twincities.com/,516,en,twincities
54,omaha.com,Omaha World-Herald,http://www.omaha.com/,0,en,omaha
147704,arkansasonline.com,arkansasonline.com,http://arkansasonline.com/,908,,arkansasonline
57,buffalonews.com,The Buffalo News,buffalonews.com,0,,buffalonews
59,courant.com,Hartford Courant,http://www.courant.com/,128,en,courant
113,talkingpointsmemo.com,Talking Points Memo,http://www.talkingpointsmemo.com,55,,talkingpointsmemo
115,dailykos.com,Daily Kos,http://www.dailykos.com,172,,dailykos
117,hotair.com,Hot Air,http://hotair.com,151,en,hotair
128,redstate.com,RedState,http://www.redstate.com,207,en,redstate
140,politicalwire.com,Taegan Goddard's Political Wire,http://politicalwire.com,322,en,politicalwire
401,tnr.com,The New Replublic,http://www.tnr.com/,81,en,tnr
798,factcheck.org,FactCheck,http://factcheck.org/,6,en,factcheck
1040,realclearpolitics.com,RealClearPolitics,http://realclearpolitics.com/,566,en,realclearpolitics
1089,reuters.com,Reuters,http://www.reuters.com/,2,,reuters
1092,foxnews.com,Fox News,http://www.foxnews.com/,1446,,fox
1095,cnn.com,CNN,http://www.cnn.com/,1175,,cnn
1096,npr.org,NPR,https://www.npr.org/,921,,npr
1098,newsweek.com,Newsweek,http://www.newsweek.com/,726,en,newsweek
1100,usnews.com,US News & World Report,http://www.usnews.com/,-1,en,usnews
1101,newyorker.com,New Yorker,http://www.newyorker.com/,200,en,newyorker
1104,forbes.com,Forbes,http://www.forbes.com/,1770,en,forbes
1105,fortune.com,Fortune,http://fortune.com,306,en,fortune
1110,theatlantic.com,Atlantic,http://www.theatlantic.com/,91,,theatlantic
1112,motherjones.com,Mother Jones,http://www.motherjones.com/,35,en,motherjones
1113,harpers.org,Harper's Magazine,http://www.harpers.org/,3,en,harpers
1008,thenation.com,Nation,http://thenation.com/,122,en,thenation
1117,nationalreview.com,National Review,http://www.nationalreview.com/,128,en,nationalreview
1125,newsbusters.org,NewsBusters,http://newsbusters.org,119,en,newsbusters
1127,rawstory.com,Raw Story,http://rawstory.com,573,,rawstory
22732,wsj.com,on.wsj.com,http://on.wsj.com,1614,,wsj
