id,name,url_search_string,label,homepage,notes,platform,stories_per_week,first_story,pub_country,pub_state,primary_language,media_type
1,nytimes.com,,New York Times,http://nytimes.com,,online_news,1245,,USA,US-NY,,print_native
2,washingtonpost.com,,Washington Post,http://washingtonpost.com,,online_news,1940,,USA,US-DC,,print_native
3,csmonitor.com,,Christian Science Monitor,http://csmonitor.com,,online_news,93,,USA,US-MA,en,print_native
4,usatoday.com,,USA Today,http://www.usatoday.com,,online_news,1422,,USA,US-OH,,print_native
6,latimes.com,,LA Times,http://www.latimes.com/,,online_news,1310,,USA,US-CA,,print_native
7,nypost.com,,New York Post,http://www.nypost.com/,,online_news,2203,,USA,US-NY,,print_native
9,chicagotribune.com,,Chicago Tribune,http://www.chicagotribune.com/,,online_news,653,,USA,US-IL,,print_native
10,chron.com,,houstonchronicle,http://www.chron.com/,,online_news,361,,USA,US-TX,en,print_native
12,dallasnews.com,,Dallas Morning News,http://www.dallasnews.com/,,online_news,,,USA,US-TX,en,print_native
13,newsday.com,,Newsday,http://www.newsday.com/,,online_news,1008,,USA,US-NY,,print_native
14,sfgate.com,,SF Gate,http://www.sfgate.com/,,online_news,1002,,USA,US-CA,en,digital_native
21511,bostonglobe.com,,Boston Globe,http://www.bostonglobe.com,,online_news,260,,USA,US-MA,en,
19,startribune.com,,Star Tribune,http://www.startribune.com/,,online_news,1105,,USA,US-MN,,print_native
22,tampabay.com,,Tampa Bay Times,http://www.tampabay.com/,,online_news,103,,USA,US-FL,en,print_native
25,ocregister.com,,Orange County Register,http://www.ocregister.com/,,online_news,496,,USA,US-CA,en,print_native
26,sacbee.com,,Sac Bee,http://www.sacbee.com/,,online_news,,,USA,US-CA,en,print_native
28,miamiherald.com,,Miami Herald,http://www.miamiherald.com/,,online_news,15,,USA,US-FL,en,print_native
30,kansascity.com,,Kansas City Star,http://www.kansascity.com/,,online_news,,,USA,US-MO,en,print_native
34,baltimoresun.com,,Baltimore Sun,http://www.baltimoresun.com/,,online_news,502,,USA,US-MD,en,print_native
35,mercurynews.com,,San Jose Mercury News,http://www.mercurynews.com/,,online_news,923,,USA,US-CA,en,print_native
36,jsonline.com,,Milwaukee Journal Sentinel,http://www.jsonline.com/,,online_news,508,,USA,US-WI,en,print_native
38,orlandosentinel.com,,Orlando Sentinel,http://www.orlandosentinel.com/,,online_news,377,,USA,US-FL,en,print_native
39,sun-sentinel.com,,South Florida Sun-Sentinel,http://www.sun-sentinel.com/,,online_news,308,,USA,US-FL,en,print_native
41,dispatch.com,,Columbus Dispatch,http://www.dispatch.com/,,online_news,,,USA,US-OH,en,print_native
45,post-gazette.com,,Pittsburgh Post-Gazette,http://www.post-gazette.com/,,online_news,303,,USA,US-PA,en,print_native
52,twincities.com,,St.Paul Pioneer-Press,http://www.twincities.com/,,online_news,516,,USA,US-MN,en,print_native
54,omaha.com,,Omaha World-Herald,http://www.omaha.com/,,online_news,0,,USA,US-NE,en,print_native
147704,arkansasonline.com,,arkansasonline.com,http://arkansasonline.com/,,online_news,908,,,,,
57,buffalonews.com,,The Buffalo News,buffalonews.com,,online_news,0,,USA,US-NY,,print_native
59,courant.com,,Hartford Courant,http://www.courant.com/,,online_news,128,,USA,US-CT,en,print_native
113,talkingpointsmemo.com,,Talking Points Memo,http://www.talkingpointsmemo.com,,online_news,55,,USA,,,digital_native
115,dailykos.com,,Daily Kos,http://www.dailykos.com,,online_news,172,,USA,,,digital_native
117,hotair.com,,Hot Air,http://hotair.com,,online_news,151,,USA,,en,digital_native
128,redstate.com,,RedState,http://www.redstate.com,,online_news,207,,USA,,en,digital_native
140,politicalwire.com,,Taegan Goddard's Political Wire,http://politicalwire.com,,online_news,322,,USA,,en,digital_native
401,tnr.com,,The New Replublic,http://www.tnr.com/,,online_news,81,,USA,,en,print_native
798,factcheck.org,,FactCheck,http://factcheck.org/,,online_news,6,,USA,,en,digital_native
1040,realclearpolitics.com,,RealClearPolitics,http://realclearpolitics.com/,,online_news,566,,USA,,en,digital_native
1089,reuters.com,,Reuters,http://www.reuters.com/,stopped official rss support in 2020,online_news,2,,USA,,,other
1092,foxnews.com,,Fox News,http://www.foxnews.com/,,online_news,1446,,USA,US-NY,,video_broadcast
1095,cnn.com,,CNN,http://www.cnn.com/,,online_news,1175,,USA,US-GA,,video_broadcast
1096,npr.org,,NPR,https://www.npr.org/,,online_news,921,,USA,,,video_broadcast
1098,newsweek.com,,Newsweek,http://www.newsweek.com/,,online_news,726,,,,en,
1100,usnews.com,,US News & World Report,http://www.usnews.com/,,online_news,,,USA,,en,print_native
1101,newyorker.com,,New Yorker,http://www.newyorker.com/,,online_news,200,,USA,,en,print_native
1104,forbes.com,,Forbes,http://www.forbes.com/,,online_news,1770,,USA,,en,print_native
1105,fortune.com,,Fortune,http://fortune.com,,online_news,306,,USA,,en,print_native
1110,theatlantic.com,,Atlantic,http://www.theatlantic.com/,,online_news,91,,USA,,,print_native
1112,motherjones.com,,Mother Jones,http://www.motherjones.com/,,online_news,35,,USA,,en,print_native
1113,harpers.org,,Harper's Magazine,http://www.harpers.org/,,online_news,3,,USA,,en,print_native
1008,thenation.com,,Nation,http://thenation.com/,,online_news,122,,,,en,
1117,nationalreview.com,,National Review,http://www.nationalreview.com/,,online_news,128,,USA,,en,print_native
1125,newsbusters.org,,NewsBusters,http://newsbusters.org,,online_news,119,,USA,,en,digital_native
1127,rawstory.com,,Raw Story,http://rawstory.com,,online_news,573,,USA,,,digital_native
22732,wsj.com,,on.wsj.com,http://on.wsj.com,,online_news,1614,,,,,
1641,cleveland.com,,cleveland.com,http://www.cleveland.com/,,online_news,1025,,USA,US-OH,en,digital_native
1706,upi.com,,UPI,http://www.upi.com/,,online_news,479,,USA,,,other
1707,thedailybeast.com,,Daily Beast,http://www.thedailybeast.com/,,online_news,128,,USA,,en,digital_native
1751,theguardian.com,theguardian.com/us,Guardian US,https://www.theguardian.com/us,,online_news,256,,GBR,,en,
1752,cbsnews.com,,CBS News,http://www.cbsnews.com/,,online_news,744,,USA,US-NY,,video_broadcast
1755,cnbc.com,,CNBC,http://www.cnbc.com/,,online_news,400,,USA,,en,video_broadcast
1757,salon.com,,Salon,http://www.salon.com/,,online_news,160,,USA,,,digital_native
4415,cnet.com,,CNET,http://cnet.com,,online_news,391,,USA,,en,digital_native
4419,time.com,,Time,http://time.com,,online_news,128,,USA,,en,
4438,techcrunch.com,,TechCrunch,http://techcrunch.com,,online_news,251,,USA,,en,
366306,espn.com,,espn.com,http://espn.com/,,online_news,423,,,,,
4469,gizmodo.com,,Gizmodo,http://gizmodo.com,,online_news,191,,USA,,en,
5521,rollingstone.com,,Rolling Stone,http://www.rollingstone.com,,online_news,245,,USA,,en,print_native
5527,mashable.com,,Mashable!,http://mashable.com,,online_news,233,,USA,,en,digital_native
5856,eonline.com,,E! Online,http://www.eonline.com/,,online_news,355,,USA,,en,video_broadcast
5880,gawker.com,,Gawker,http://gawker.com,,online_news,12,,USA,,en,digital_native
5915,fivethirtyeight.com,,FiveThirtyEight,http://www.fivethirtyeight.com/,,online_news,15,,USA,,en,digital_native
5982,businessweek.com,,BusinessWeek.com,http://www.businessweek.com/,,online_news,,,USA,,en,print_native
6154,jezebel.com,,Jezebel,http://jezebel.com,,online_news,68,,USA,,en,digital_native
6218,buzzfeed.com,,Buzzfeed,http://www.buzzfeed.com,,online_news,1471,,USA,,,digital_native
18342,politico.com,,politico.com,http://www.politico.com,,online_news,305,,,,en,
18351,arstechnica.com,,arstechnica.com,http://arstechnica.com,,online_news,90,,USA,,en,digital_native
18393,opensecrets.org,,OpenSecrets,http://www.opensecrets.org,,online_news,3,,USA,US-DC,en,digital_native
18496,hollywoodreporter.com,,Hollywood Reporter,http://www.hollywoodreporter.com,,online_news,312,,USA,,en,print_native
18658,weeklystandard.com,,Weekly Standard,http://www.weeklystandard.com,,online_news,,,USA,,en,print_native
18704,thewrap.com,,The Wrap,http://www.thewrap.com,,online_news,311,,USA,,en,digital_native
18710,businessinsider.com,,Business Insider,http://www.businessinsider.com,,online_news,186,,USA,,en,digital_native
18775,dailycaller.com,,Daily Caller,http://dailycaller.com,,online_news,651,,USA,,,digital_native
19076,variety.com,,variety.com,http://www.variety.com,,online_news,439,,USA,,en,print_native
19082,pjmedia.com,,PJ Media,http://pjmedia.com,,online_news,131,,USA,,en,digital_native
19194,billboard.com,,Billboard,http://www.billboard.com,,online_news,371,,USA,,en,print_native
19317,mongabay.com,,Mongabay,https://news.mongabay.com/,,online_news,27,,USA,,en,digital_native
19334,breitbart.com,,Breitbart,http://www.breitbart.com,,online_news,667,,USA,,,digital_native
19466,maxpreps.com,,maxpreps.com,http://www.maxpreps.com,,online_news,,,,,en,
25915,postandcourier.com,,postandcourier.com,http://www.postandcourier.com,,online_news,0,,,,,
19643,slate.com,,Slate.com,http://www.slate.com,,online_news,103,,USA,,en,digital_native
19763,townhall.com,,townhall.com,http://townhall.com,,online_news,86,,USA,,en,digital_native
19854,rollcall.com,,Roll Call,http://www.rollcall.com,,online_news,58,,USA,,en,print_native
20060,bizjournals.com,,bizjournals.com,https://www.bizjournals.com,,online_news,,,USA,,en,digital_native
